uid;nom;prenom;groupe_sigle;total_votes_exprimes;votes_loyaux;votes_rebelles;score_loyaute_pct;en_cours
PA794554;Castiglione;Salvatore;LIOT;252;223;29;88.49;False
PA841931;Mazaury;Laurent;LIOT;961;850;111;88.45;True
PA795920;Thevenot;Prisca;EPR;2502;2213;289;88.45;True
PA795962;Missoffe;Joséphine;EPR;1670;1477;193;88.44;True
PA569;Bonnecarrère;Philippe;NI;1831;1619;212;88.42;True
PA722366;Fugit;Jean-Luc;EPR;3094;2733;361;88.33;True
PA842183;Blanchard;Benoît;HOR;1280;1130;150;88.28;True
PA722390;Corneloup;Josiane;DR;1518;1340;178;88.27;True
PA720720;Poueyto;Josy;Dem;1330;1174;156;88.27;True
PA718674;Givernet;Olga;EPR;1397;1233;164;88.26;True
PA841431;Colin-Oesterlé;Nathalie;HOR;1533;1351;182;88.13;True
PA794486;Spillebout;Violette;EPR;768;676;92;88.02;True
PA793716;Croizier;Laurent;Dem;834;734;100;88.01;True
PA267200;Huyghe;Sébastien;EPR;2208;1943;265;88.0;True
PA795722;Olive;Karl;EPR;432;380;52;87.96;True
PA719778;Jolivet;François;HOR;1043;917;126;87.92;True
PA643089;Thiériot;Jean-Louis;DR;355;312;43;87.89;True
PA720552;Rauch;Isabelle;HOR;932;819;113;87.88;True
PA267285;Wauquiez;Laurent;DR;583;512;71;87.82;True
PA719968;Bonnet;Sylvie;DR;1009;885;124;87.71;True
PA342240;Bourgeaux;Jean-Luc;DR;1001;878;123;87.71;True
PA227089;Létard;Valérie;LIOT;65;57;8;87.69;True
PA793398;Patrier-Leitus;Jérémie;HOR;2336;2048;288;87.67;True
PA720190;Sorre;Bertrand;EPR;1119;981;138;87.67;True
PA793520;Cosson;Mickaël;Dem;1515;1328;187;87.66;True
PA719558;Balanant;Erwan;Dem;1204;1055;149;87.62;True
PA795026;Violland;Anne-Cécile;HOR;1299;1138;161;87.61;True
PA643175;Dupont;Stella;NI;1897;1661;236;87.56;True
PA795402;Coggia;Nathalie;EPR;1298;1136;162;87.52;True
PA718784;Pauget;Éric;DR;496;434;62;87.5;True
PA721844;Piron;Béatrice;HOR;2604;2277;327;87.44;True
PA822617;Froger;Martine;SOC;1423;1244;179;87.42;True
PA608416;Hetzel;Patrick;DR;1985;1734;251;87.36;True
PA719890;Brulebois;Danielle;EPR;2074;1810;264;87.27;True
PA795124;Padey;Didier;Dem;267;233;34;87.27;True
PA826635;Rousseau;Aurélien;SOC;1756;1532;224;87.24;True
PA719286;Colombani;Paul-André;LIOT;576;502;74;87.15;True
PA608826;Duby-Muller;Virginie;DR;956;832;124;87.03;True
PA942;de Courson;Charles;LIOT;1234;1074;160;87.03;True
PA606098;Marleix;Olivier;DR;422;367;55;86.97;False
PA695512;Lepers;Guillaume;DR;1154;1003;151;86.92;True
PA687214;Berrios;Sylvain;HOR;1239;1076;163;86.84;True
PA719632;Panonacle;Sophie;EPR;949;824;125;86.83;True
PA722284;Fuchs;Bruno;Dem;569;494;75;86.82;True
PA721314;Schellenberger;Raphaël;NI;478;415;63;86.82;True
PA642847;Bazin;Thibault;DR;1914;1661;253;86.78;True
PA719338;Melchior;Graziella;EPR;1725;1497;228;86.78;True
PA841017;Huwart;Harold;LIOT;646;560;86;86.69;True
PA795540;Grenon;Daniel;NI;404;350;54;86.63;True
PA842311;Caure;Vincent;EPR;1661;1437;224;86.51;True
PA795390;Lalanne;Sandrine;EPR;954;825;129;86.48;True
PA717161;Borne;Élisabeth;EPR;332;287;45;86.45;True
PA719756;Le Nabour;Christine;EPR;1672;1445;227;86.42;True
