uid;nom;prenom;groupe_sigle;specialite_principale;top_5_themes;nb_themes_votes
PA796050;Schreck;Philippe;RN;Sante;Economie & Finance(823) | Sante(442) | Securite sociale & Protection(159) | Outre-mer(133) | Ecologie & Environnement(86);15
PA795808;Sebaihi;Sabrina;EcoS;Securite & Justice;Economie & Finance(1001) | Securite sociale & Protection(265) | Securite & Justice(140) | Ecologie & Environnement(99) | Institutions(86);16
PA757225;Seo;Mikaele;EPR;Education;Economie & Finance(300) | Securite sociale & Protection(64) | Outre-mer(28) | Ecologie & Environnement(19) | Sante(17);13
PA793416;Sertin;Freddy;EPR;Logement & Urbanisme;Economie & Finance(138) | Institutions(51) | Outre-mer(27) | Securite & Justice(26) | Education(21);15
PA720960;Serva;Olivier;LIOT;Logement & Urbanisme;Economie & Finance(35) | Logement & Urbanisme(29) | Securite sociale & Protection(22) | Institutions(13) | Outre-mer(6);14
PA842255;Sicard;Anne;RN;Ecologie & Environnement;Economie & Finance(1489) | Sante(537) | Securite sociale & Protection(365) | Ecologie & Environnement(212) | Institutions(112);16
PA841091;Simion;Arnaud;SOC;Logement & Urbanisme;Economie & Finance(1025) | Sante(449) | Securite sociale & Protection(382) | Ecologie & Environnement(108) | Outre-mer(72);15
PA796018;Simonnet;Danielle;EcoS;Sante;Economie & Finance(954) | Sante(470) | Securite sociale & Protection(294) | Institutions(108) | Outre-mer(61);15
PA794802;Sitzenstuhl;Charles;EPR;Numerique & Technologies;Economie & Finance(1915) | Sante(651) | Securite sociale & Protection(435) | Ecologie & Environnement(229) | Securite & Justice(205);16
PA720190;Sorre;Bertrand;EPR;Culture;Economie & Finance(534) | Securite sociale & Protection(263) | Culture(180) | Sante(161) | Outre-mer(61);14
PA841681;Sother;Thierry;SOC;Transport;Economie & Finance(879) | Securite sociale & Protection(365) | Sante(240) | Ecologie & Environnement(81) | Institutions(73);15
PA795466;Soudais;Ersilia;LFI-NFP;Immigration;Economie & Finance(934) | Sante(289) | Securite sociale & Protection(252) | Outre-mer(131) | Securite & Justice(119);15
PA794486;Spillebout;Violette;EPR;Education;Economie & Finance(371) | Securite sociale & Protection(146) | Institutions(84) | Sante(63) | Education(58);15
PA793744;Stambach-Terrenoir;Anne;LFI-NFP;Logement & Urbanisme;Economie & Finance(1967) | Sante(457) | Securite sociale & Protection(357) | Ecologie & Environnement(197) | Outre-mer(133);16
PA842137;Séjourné;Stéphane;EPR;;Economie & Finance(2);1
PA267794;Tabarot;Michèle;DR;Defense;Economie & Finance(247) | Securite sociale & Protection(72) | Defense(45) | Outre-mer(45) | Transport(29);14
PA720952;Taché;Aurélien;LFI-NFP;Outre-mer;Economie & Finance(289) | Outre-mer(209) | Institutions(71) | Securite sociale & Protection(34) | Social & Travail(28);14
PA793382;Taché;Emmanuel;RN;Transport;Economie & Finance(389) | Outre-mer(124) | Securite sociale & Protection(107) | Sante(81) | Institutions(73);15
PA736201;Taillé-Polian;Sophie;EcoS;Defense;Economie & Finance(628) | Sante(203) | Securite sociale & Protection(100) | Institutions(61) | Social & Travail(59);15
PA794178;Taite;Jean-Pierre;DR;Defense;Economie & Finance(322) | Institutions(102) | Securite sociale & Protection(70) | Outre-mer(57) | Defense(45);14
PA795778;Tanguy;Jean-Philippe;RN;Ecologie & Environnement;Economie & Finance(1818) | Securite sociale & Protection(289) | Ecologie & Environnement(225) | Outre-mer(118) | Institutions(102);16
PA719550;Tanguy;Liliana;EPR;Numerique & Technologies;Economie & Finance(1226) | Sante(496) | Securite sociale & Protection(298) | Culture(212) | Outre-mer(134);16
